,text
0,"시발ㅋㅋㅋㅋㅋㅋㅋㅋ
백신패스안된대서쓰발
시발
귀멸의칼날봄
시발 https://t.co/aeVDRP4FUL"
1,"@LVLZ_K_ @me_960612 위드코로나 ×
단계적 일상회복 O
텔타변이 전파력이 1명당 6명임
즉 83%가 면역이면 소멸됨
백신이 85%정도 막아준다고 치면
전국민 100% 백신완료 시 &gt; 소멸
또는 전국민 90% 백신 완료 시+ 감염자 500만명 시 &gt; 소멸...

즉 감염자는 계속 증거할 꺼고 감염자 500만명이 될때까지 컨트롤 하는기 핵심"
2,삼천?? ㅋㅋㅋㅋ위드코로나 괜찮냐구 어이어이
3,@V01CE_NEULLL 알고보니 위드코로나(감염)이엇던거임...(아님
4,여기저기 밴드 라이브도 점점 많아지는구나. 당연히 백신패스에 인원제한에 간격 제한된 좌석제이지만.
5,위드 코로나라고 바로 잔 돌리는 갑질.
6,위드 코로나(with Covid19) 이후 작년 2월 이후 처음 방문한 일본 동경의 우에미즈(上水) 에 위치한 어느 라멘집. 넉넉한 숙주가 인상적인 이 곳에서의 뜨끈한 국물 한 숟갈이 무척 그리웠다. https://t.co/1RrqP2tEcU
7,버스에 그 한남특유 담배냄새+향수냄새 가득 참 아 왜 대학교 위드코로나 하냐고ㅡㅡ
8,"[전남도청] 단계적 일상회복 후 확진자 2배 급증▲확산 방지를 위해 타지역 방문 자제, 유증상시(기침√두통√인후통√발열 등) 출근·등교 전 진단검사 받으세요.
#전남도청 2021/11/22 11:00:07 #재난문자"
9,@fjqfjqfjq1234 그라고 접종자들끼리 돌파감염 중이라더만여... 특히 노인여가복지시설. 이러다가 백신 패스는 미접종자 보호 패스가 되는 건가.
10,"@melon @mma_melon #MMA2021 #MMA티켓이벤트
수능 막 끝난 고삼인데 위드코로나로 바뀌고 여러 시상식들이 대면으로 바뀐 것 같아 너무 행복해요ㅎㅎ 가수들 멋진 무대도 구경하고 즐겁기 놀다 오고 싶어요!"
11,위드 코로난데 재도온 사람 더 안뽑겠지.. 재도온 1월로 미뤄질줄 알았으면 티켓 잡는건데..😭
12,@melon #MMA2021 #MMA티켓이벤트  좋아하는 가수를 코로나사태가 시작했을때 입덕해서 멜뮤 유튜브로만 봤었는데 이번에 위드코로나 시행하고 멜뮤 대면으로 한다고 한 기사 떴을때 너무 기뻤어요 ㅠㅠ 어떤시상식들 보다 무대 퀄리티가 제일 좋은걸로 유명하니 이번 멜뮤도 너무 기대가 돼요 멜뮤💗
13,ㅅㅂ 2호선는 왤케 이 시간에도 사람이 많아서 열차가 꽉 차???? 위드코로나 한다고 다들 아주 신났나 보네
14,위드코로나 이후로 차 끊길 때까지 술 처음 마셔봐요
15,확진자가 4000명을 넘었다. 위드코로나에 방심말고 조심하시길
16,"""백신, 중증화율 감소에 효과""
지난주 위중증 환자의 82.1%는 60대 이상으로 집계됐다.
사망자도 고령층을 중심으로 발생했다.

What??
60대 이상 그렇게 백신 많이 맞았는데 왜 그래??

위중증, 고령층이 82%…＂추가접종 대상자에 방역패스 검토 안해＂(종합)
https://t.co/x6JMLJoo6Z"
17,위드코로나되면 코로나맥주 사서 인증샷찍는 상상 https://t.co/2ifK6tYgix
