,okt_noun,okt_verb
0,"['시발', '패스', '대서', '발', '시발', '멸', '칼날', '봄', '시발']","['안된', '쓰']"
1,"['위드', '코로나', '단계', '일상', '회복', '델타', '변', '전파', '명당', '명', '면역', '소멸됨', '백신', '정도', '치면', '전', '국민', '백신', '완료', '시', '소멸', '전', '국민', '백신', '완료', '시', '감염', '명', '시', '소멸', '즉', '감염', '계속', '증거', '감염', '만', '명', '때', '컨트롤', '기', '핵심']","['가', '막아', '준다고', '또는', '할', '될', '하는']"
2,"['삼천', '위드', '코로나']",['괜찮냐고']
3,"['알', '위드', '코로나', '감염', '거임']","['보니', '이었던', '아님']"
4,"['여기저기', '밴드', '라이브', '점점', '백신', '패스', '인원', '제한', '간격', '제한', '좌석', '제이']","['많아지는구나', '당연히', '된']"
5,"['위드', '코로나', '바로', '잔']","['돌리는', '갑질']"
6,"['위드', '코로나', '이후', '작년', '월', '이후', '처음', '방문', '일본', '동경', '우', '니즈', '위치', '라멘', '집', '숙주', '인상', '곳', '국물', '숟갈', '무척']","['어느', '넉넉한', '뜨끈한', '한', '그리웠다']"
7,"['버스', '그', '한남', '특유', '담배', '냄새', '향수', '냄새', '가득', '왜', '대학교', '위드', '코로나']","['참', '하냐고']"
8,"['전남도청', '단계', '일상', '회복', '후', '확', '진자', '배', '급증', '확산', '방지', '위해', '타', '지역', '방문', '자제', '유증', '상시', '기침', '두통', '인후', '통', '발열', '등', '출근', '등교', '전', '진단', '검사', '전남도청', '재난', '문자']",['받으세요']
9,"['그', '접', '종자', '끼리', '돌파', '감염', '중이', '더', '여', '노인', '여가', '복지', '시설', '백신', '패스', '미접', '종자', '보호', '패스', '건가']","['특히', '이러다가', '되는']"
10,"['티켓', '이벤트', '수능', '막', '고삼', '위드', '코로나', '여러', '시상식', '대면', '것', '가수', '무대', '구경']","['끝난', '바뀌고', '바뀐', '같아', '너무', '행복해요', '멋진', '즐겁기', '놀다', '오고', '싶어요']"
11,"['위드', '코로', '데', '재도', '온', '사람', '더', '안', '재도', '온', '월', '줄', '티켓']","['뽑겠지', '미뤄질', '알았으면', '잡는']"
12,"['티켓', '이벤트', '가수', '코로나', '사태', '시작', '때', '입', '뮤', '유튜브', '로만', '이번', '위드', '코로나', '시행', '뮤', '대면', '기사', '때', '시상식', '무대', '퀄리티', '제일', '걸', '이번', '뮤', '기대', '뮤']","['좋아하는', '했을', '멍해서', '멜', '봤었는데', '멜', '한다고', '한', '떴을', '너무', '기뻤어요', '어떤', '보다', '좋은', '유명하니', '멜', '너무', '돼요', '멜']"
13,"['호선', '왜', '이', '시간', '사람', '열차', '꽉', '차', '위드', '코로나', '아주']","['는', '이렇게', '많아서', '한다고', '다', '들', '신났나', '보네']"
14,"['위드', '코로나', '이후', '차', '때', '술', '처음']","['끊길', '마셔', '봐요']"
15,"['확', '진자', '명', '위드', '코로나', '방심']","['넘었다', '조심하시길']"
16,"['백신', '중증', '율', '감소', '효과', '지난주', '위중', '증', '환자', '이상', '집계', '사망자', '고령', '층', '중심', '발생', '이상', '백신', '왜', '위중', '증', '고령', '층', '추가', '접종', '대상자', '방역', '패스', '검토', '안', '해', '종합']","['대', '됐다', '했다', '대', '그렇게', '많이', '맞았는데', '그래']"
17,"['위드', '코로나', '코로나', '맥주', '사서', '인증', '숏', '상상']","['되면', '찍는']"
18,"['제기', '뮤지컬', '아카데미', '리딩', '공연', '사전예약', '오픈', '지금', '바로', '홈페이지', '통해', '예매', '백신', '패스', '객석', '운영', '백', '신', '접종', '완료', '차', '접종', '후', '일', '경과', '관객', '관람', '가능', '미취', '학', '아동', '입장', '불가', '최종', '성과', '발표회', '리딩', '공연', '일시', '년', '월', '일금', '장소', '시어터']","['하세요', '한하여', '꿈꾸는']"
19,"['위드', '코로나', '제일', '먼저', '회식', '회사', '인간', '구려']","['하려', '드는', '너무']"
