,text
0,"난 위드코로나 한다고 햇을때부터 반대엿다..
4단계에도 안지키는 놈들이 수만명인데
위드코로나하면얼마나더난리날까싶엇음.ㄷㄷ"
1,"11:20 정책기자회견
&lt;위드코로나 문제와 정책대안&gt;

#안철수 #국민의당 #국민상자 #위드안 #위드코로나  #위드코로나문제와_정책재안 #안철수기자회견 https://t.co/YwuXqbcHNZ"
2,"@Madam_H_ 어쩔수없어.!
위드코로나로 전면개방되는 12월이라서 
그동안 못놀았던거 뽕뽑아야하니ㅡㅡ"
3,"제발 말만하지말고 확실히 확인하자~~~
코세글자 시국이니까 pcr, 백신패스, 문진표로 본인확인 확실히하고... 
그래서 플미표 한장이라도 더 없애보자... https://t.co/fr84pE4dbH"
4,위드코로나 ㅇㅈㄹ을했음안됐는데 인간들 정신머리가 빠졌잖아
5,@juNzvZ9P0TZyaY8 정부: 아 위드코로나라고 ㅋㅋㅋㅋ
6,"회사 숙직실에서 자는 경우도...ㅠㅠ

＂택시 안잡혀 모텔서 자고 출근＂...위드코로나에 도로는 전쟁터 (출처 : 머니투데이 | 네이버 뉴스) https://t.co/PvPJgvxY1i"
7,예매자 이름과 신분증 대조는 최악의 시나리오라고 생각합니다... ㅅㅇㅍ서울콘의 경우 사전 공지를 했던걸로 알고있고 위드코로나 전후에 갔던 작진콘에선 셀프 문진표작성정도 했습니다 아무튼 안테나가 공지를 줘야할텐데 뭐하는지 모르겠네요
8,이 문제에 대해서 재한외국인 등등은 난리가 났는데 한국인은 아무도 관심이 없고-'백신패스' 반대자도 이 이야기는 (당연히?) 안함-거기에 오미크론 확진이 재한외국인 그룹에서 크게 번질 조짐이라는데 향후 이 그룹에 대한 공격적 여론이 더 커질 것 같아서 걱정스러움. https://t.co/xqIfYHDWna
9,모든 실내시설 백신패스 적용
10,"""접종후 생리 끊겼는데 또 맞으라네요""..백신패스 놓고 부글부글 https://t.co/WPdm4qYbGg #매일경제 #김시균 #고보현 #정희영 #한재범"
11,"""택시 안잡혀 모텔서 자고 출근""..위드코로나에 도로는 전쟁터 | 다음 뉴스 https://t.co/2nNsNcKckc"
12,백신패스관에서 봤구나 ㅋ ㅋ  ㅋ ㅋ ㅋ ㅋㅋㅋㅋㅋ ㅋ ㅋ ㅋ ㅋ  ㅋ ㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋ  ㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ 아니 누가 영화관가서 스낵 8만원어치를 먹어요
13,헉 나 학교 박물관에서 근로중인데 방금 시에서 백신2차까지 안맞은사람 입장 제한하라고 했다고 연락왔다 이제 백신패스 진짜 시행하는구나
14,"@B4CK9_bb 컴퓨터... 계속미뤗는데... 나 엑셀도 쓸줄몰라; 맨날 서치해가면서 씀 
그리구 면허도 따야되고 
집앞 카페 바리스타 자격증 따게 도와주는 거? 모집한다는데 저번에는 코로나땜에 잠시 안한다고햇거든 근데 이제 위드코로나 추세니까 다시 가볼거고... 알바도 찾아야하고"
15,"‘매우 위험’ 위드 코로나, 특별 방역대책 유명무실 비판  / 브레이크뉴스  https://t.co/yZOhgdMCVC"
16,그냥 다 백신패스네... 장난? 돈 안 벌고싶나
17,"백신패스 대폭 확대..식당·카페 예외 1명만 인정 https://t.co/PEn7ySna5L 

이래도 가만히 있는다면 답없는 개돼지들."
18,방역패스 머시기 그거..CDC로 되나?나 그 전산에 업뎃 안됐는데..제가 그 머시기..백신맞긴 맞았는데요
19,"크루즈 전문기업 (주)월드투어, 위드코로나시대 국내 최초 크루즈 여행  재개 #크루즈여행 #크루즈인솔자 #월드크루즈 #월드투어 #여행 #보복여행 #크리에이터 #장성수 #장덕순  -&gt; 자세히보기https://t.co/PlX1kD9KPM https://t.co/UxKzQaKlu2"
20,[ FNL NEWS ] 청소년 방역패스에 백신 부작용 우려 목소리 - 21.12.06 https://t.co/bhlKGB1hlD 출처 @YouTube
21,@unjust918 백신패스 도입으로 전석 오픈 가능...
22,백신패스는 위험한 곳에 제한적으로만 해얄것같지만 80프로 접종완료했으니 필요없다는 아닌듯.. 독감처럼 해마다나 반기에 한번씩 맞아야할텐데 80프로가 의미있나싶고. 치명률 낮아질때까지(곧?) 부스터 백신 충분히 준비해놓고 부작용 관리가 최선일듯
23,"'5부: 백신패스 강요하는 방역사기 정권에 대해 국민이 전면 저항해야! (2021.12.07) [정치분석]' 보기
https://t.co/l1H6rh59Ao"
