,han_text
0,난 위드 코로나 한다고 했을 때부터 반대 엿 다단계에도 안 지키는 놈들이 수만 명인데 위드 코로나 하면 얼마나 더 난리 날까 싶었음ᄃᄃ
1, 정책기자회견 위드 코로나 문제와 정책대안 안철수 국민의당 국민 상자 위드안 위드 코로나  위드 코로나 문제와 정책 재안 안철수 기자회견
2, 어쩔 수 없어 위드 코로나로 전면 개방되는 월이라서 그동안 못 놀았던 거 뽕뽑아야하니ㅡㅡ
3,제발 말만 하지 말고 확실히 확인하자 코 세 글자 시국이니까  백신 패스 문진표로 본인확인 확실히 하고 그래서 프로미 표 한 장이라도 더 없애보자 
4,위드 코로나 ㅇㅈㄹ을했음안됐는데 인간들 정신머리가 빠졌잖아
5, 정부 아 위드 코로나라고 ㅋㅋㅋㅋ
6,회사 숙직실에서 자는 경우도ㅠㅠ택시 안 잡혀 모텔서 자고 출근 위드 코로나에 도로는 전쟁터 출처  머니투데이  네이버 뉴스 
7,예매자 이름과 신분증 대조는 최악의 시나리오라고 생각합니다 ㅅㅇㅍ서울콘의 경우 사전 공지를 했던 걸로 알고 있고 위드 코로나 전후에 갔던 작진 콘에선 셀프 문진 표 작성 정도 했습니다 아무튼 안테나가 공지를 줘야 할 텐데 뭐 하는지 모르겠네요
8,이 문제에 대해서 재한외국인 등등은 난리가 났는데 한국인은 아무도 관심이 없고 백신 패스 반대자도 이 이야기는 당연히 안 한 거기에 오미크론 확진이 재한외국인 그룹에서 크게 번질 조짐이라는데 향후 이 그룹에 대한 공격적 여론이 더 커질 것 같아서 걱정스러움 
9,모든 실내 시설 백신 패스 적용
10,접종 후 생리 끊겼는데 또 맞으라네요 백신 패스 놓고 부글부글  매일경제 김시균 고봉현 정희영 한 재범
11,택시 안 잡혀 모텔서 자고 출근 위드 코로나에 도로는 전쟁터  다음 뉴스 
12,백신 패스 간에서 봤구나 ㅋ ㅋ  ㅋ ㅋ ㅋ ㅋㅋㅋㅋㅋ ㅋ ㅋ ㅋ ㅋ  ㅋ ㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋ  ㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ 아니 누가 영화관 가서 스낵 만 원어치를 먹어요
13,헉 나 학교 박물관에서 근로 중인데 방금 시에서 백신 차까지 안 맞은 사람 입장 제한하라고 했다고 연락 왔다 이제 백신 패스 진짜 시행하는구나
14, 컴퓨터 계속 미뤘는데 나 엑셀도 쓸 줄 몰라 맨날 서치해가면서 씀 그리고 면허도 따야 되고 집 앞 카페 바리스타 자격증 따게 도와주는 거 모집한다는데 저번에는 코로나 땜에 잠시 안 한다고 했거든 근데 이제 위드 코로나 추세니까 다시 가볼 거고 알바도 찾아야 하고
15,매우 위험 위드 코로나 특별 방역대책 유명무실 비판   브레이크뉴스  
16,그냥 다 백신 패스네 장난 돈 안 벌고 싶나
17,백신 패스 대폭 확대 식당 카페 예외 명만 인정  이래도 가만히 있는다면 답 없는 개돼지들
18,방역 패스 뭐 그거로 되나 나 그 전산에 업데이트 안됐는데 제가 그 뭐 백신 맞긴 맞았는데요
19,크루즈 전문 기업 주 월드투어 위드 코로나 시대 국내 최초 크루즈 여행  재개 크루즈 여행 크루즈 인솔자 월드 크루즈 월드투어 여행 보복 여행 크리에이터 장성수 장덕순   자세히 보기
20,    청소년 방역 패스에 백신 부작용 우려 목소리    출처 
21, 백신 패스 도입으로 전석 오픈 가능
22,백신 패스는 위험한 곳에 제한적으로만 해얄 것 같지만 프로 접종 완료했으니 필요 없다는 아닌 듯 독감처럼 해마다 나 반기에 한 번씩 맞아야 할 텐데 프로가 의미 있나 싶고 치명률 낮아질 때까지 곧 부스터 백신 충분히 준비해놓고 부작용 관리가 최선일 듯
23,부 백신 패스 강요하는 방역 사기 정권에 대해 국민이 전면 저항해야  정치분석 보기
24,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
25,사천시 장애인 종합복지관 따뜻한 겨울나기 김장하는 날 펼쳐 위드 코로나 극복 사랑 채움 건강 채움이라는 슬로건으로 지역 장애인 가정에 전달 사천시 한국부인회 사천읍 적십자 용현면 적십자 사천 여성회 삼천포 홈플러스 삼천포 성당 난 척 석유 김장하는 날
26, 백신 미접종자 명 이상은 모이면 안 되는 거야 백신 패스를 이렇게 
27,팝콘 먹으려고 백신 패스 관 예매했는데 팝콘도 못 샀어 진짜로 속상
28, 사람들이 위드 코로나 노래를 부르면서 이미 일상으로 돌아간 거 마냥 어딜 가나 사람들 바글바글하게 생활들 하더니 원하는 게 이런 거였음
29, 더 친일 극우 백신 패스 자영업자들 개빡침 ㄷㄷ  
30,일부터 방역 패스에 개월의 유효기간을 설정한다라 월부터 추가 백신 맞으라고 연락 온 걸 면역력 저하로 미루고 있었는데 이젠 맞아야겠네 ㅠ
31,농구장도 백신 패스 적용
32, 영화관도 백신 패스 관 생겼다가 터져서 다시 쏙 들어갔다잖아요 ㅎ
33,방역 패스 이거 백신 미접종자는 음성확인 문자 보여주면 되나 트친들 아시는 분ㅜ
34,백신 패스라니 나 안 맞는데
35,위드 코로나로 만 명까진 예상했다면서 왜 위중증 환자는 예상 못 한 거지 백신 효과가 생각보다 빨리 떨어졌나
36,방역 패스가 논란이다 왜 반대하는지 모르겠다 백신도 안 맞고 책임도 안 지고 누릴 거 다 누리고 싶은 걸까 이기적인 사람들 세 이상 접종 완료 자는 거를 넘었다 도대체 뭐가 문제인가도 안되는 사람들 중 기저질환자 알레르기인 분들은 너무 안타깝지만 음성 확인증만 있으면 된다
37,백신 패스 결사반대하는 고학생의 청와대 청원이 며칠 만에 만을 넘겼다 청와대 답변이 나오면 정권이 백신 이용하는 본심을 좀 알 수는 있겠지만 이미 정권의 악마성이 다 드러난 마당에 굳이 반성하는 척 거짓 얼굴을 보이는 일은 없을 것이라 생각 
38,위드 코로나 이후 한국만 치명률 역주행   치명률은 결국 국가가 생명을 얼마나 잘 지켰는지 보여주는 지표 부족한 병상 등은 정부가 세세하게 공개하지 않을 수도 있지만 목숨을 잃은 환자를 숨길 수는 없기 때문에 치명률은 감염병 대응 실태를 정확하게 보여준다 
39,위드 코로나 장렬하게 침몰  
40, 헉 일까지 취소면 그 이후부터 백신 패스 적용돼서 그런 거 아닐까요 이번 주 계도기간이라 그런 것 같은데 후 그걸 오늘 알려주냐고요ᅲᅲᅲᅲ
41,위드 코로나 중단 적극 검토라니 그래 그럴 수밖에 없지
42,내가 제일 궁금한 거 학원에서는 백신 패스하는데 학교는 왜 아닌 가요 학교는 더 안전한가요
43,백신을 맡긴 맞아야 되겠네 안 맞으면 일상생활 불가능한 거 아닌가 그냥 말만 백신 패시지 미접종자는 밖에 나오지도 말라는 거잖아
44, 위드 코로나 되어서 태국은 자가 격리 면제라서 한번 가보려고 했더니만 바이미 굿즈 산다고 여권도 재발급 했고ㅋ 암튼 위드 코로나가 종료되니 그래서 태국 못 갈 거 같아 속상한 마음에
45,위드 코로나 멈췄다 사적 모임 수도권 명 비수도권 명 출처  국민일보  네이버 뉴스 
46,이따 시부터 백신 패스 증명 안되시는 분들 취소 가능한데 과연 풀리는 자리가 있을까 예대가 터질까
47,백신 맞는 걸 강요는 못하지만 그래도 맞으면 좋지 않을까요 백신 패스 때문에 안 맞으면 못 누리는 혜택도 많고 저도 부작용 심했는데 잘 버텨냈어요
48,오경석ㅡ미국 애틀란트대학 한의대 교수 한국 정부가 백신 패스에 열을 올리며 아이들까 
49,확진자 수 계속 세면서 불안감 들게 할 거면 위드 코로나를 애초에 왜 한 거야 거리두기나 하지 ㅜㅜㅜㅜ
50,식당이랑 카페에서도 백신 패스한다는 거 ㅈ같아서 당일 예약 차 맞으러 가는 중 살아서 돌아옴
51,지금 학원 관계자가 나이지리아 갔다 와서 새 병 끌어온 사람 있나  도서관에서 음식물 나눠 먹다가 단체 감염된 사람 있나  스터디 카페에서 입에다 소금 물 뿌리다가 단체 감염된 사람 있나  종교 단체에는 백신 패스 안 하면서 누구에게 지랄
52,백신 패스 간에서 허용됐던 영화관 내 음식물 섭취가 다시 금지됐습니다 씨네 영화관 내 취식 다시 금지   
53,방역 패스 면 뮤지컬도 백신 맞아야지만 들어가나
54,아들 백신 맞고 사지마비됐는데 정부 방역 패스 차 가해 아닌가요  다음 뉴스 
